Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year,Unit,Yield
Crops and livestock products,5000,World,5419,Yield,56,Maize,1991,hg/ha,36997
Crops and livestock products,5000,World,5419,Yield,56,Maize,1992,hg/ha,39064
Crops and livestock products,5000,World,5419,Yield,56,Maize,1993,hg/ha,36306
Crops and livestock products,5000,World,5419,Yield,56,Maize,1994,hg/ha,41121
Crops and livestock products,5000,World,5419,Yield,56,Maize,1995,hg/ha,38101
Crops and livestock products,5000,World,5419,Yield,56,Maize,1996,hg/ha,42063
Crops and livestock products,5000,World,5419,Yield,56,Maize,1997,hg/ha,41513
Crops and livestock products,5000,World,5419,Yield,56,Maize,1998,hg/ha,44356
Crops and livestock products,5000,World,5419,Yield,56,Maize,1999,hg/ha,44256
Crops and livestock products,5000,World,5419,Yield,56,Maize,2000,hg/ha,43237
Crops and livestock products,5000,World,5419,Yield,56,Maize,2001,hg/ha,44776
Crops and livestock products,5000,World,5419,Yield,56,Maize,2002,hg/ha,43885
Crops and livestock products,5000,World,5419,Yield,56,Maize,2003,hg/ha,44610
Crops and livestock products,5000,World,5419,Yield,56,Maize,2004,hg/ha,49448
Crops and livestock products,5000,World,5419,Yield,56,Maize,2005,hg/ha,48190
Crops and livestock products,5000,World,5419,Yield,56,Maize,2006,hg/ha,47712
Crops and livestock products,5000,World,5419,Yield,56,Maize,2007,hg/ha,49828
Crops and livestock products,5000,World,5419,Yield,56,Maize,2008,hg/ha,50696
Crops and livestock products,5000,World,5419,Yield,56,Maize,2009,hg/ha,51497
Crops and livestock products,5000,World,5419,Yield,56,Maize,2010,hg/ha,51776
Crops and livestock products,5000,World,5419,Yield,56,Maize,2011,hg/ha,51633
Crops and livestock products,5000,World,5419,Yield,56,Maize,2012,hg/ha,48543
Crops and livestock products,5000,World,5419,Yield,56,Maize,2013,hg/ha,54212
Crops and livestock products,5000,World,5419,Yield,56,Maize,2014,hg/ha,55807
Crops and livestock products,5000,World,5419,Yield,56,Maize,2015,hg/ha,55031
Crops and livestock products,5000,World,5419,Yield,56,Maize,2016,hg/ha,57375
Crops and livestock products,5000,World,5419,Yield,56,Maize,2017,hg/ha,57444
Crops and livestock products,5000,World,5419,Yield,56,Maize,2018,hg/ha,57151
Crops and livestock products,5000,World,5419,Yield,56,Maize,2019,hg/ha,58238
